2023-04-29 09:41:01 status unpacked libcom-err2:amd64 1.46.2-2
2023-04-29 09:41:01 install libkrb5support0:amd64 <none> 1.18.3-6+deb11u3
2023-04-29 09:41:01 status half-installed libkrb5support0:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:01 status unpacked libkrb5support0:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:02 install libk5crypto3:amd64 <none> 1.18.3-6+deb11u3
2023-04-29 09:41:02 status half-installed libk5crypto3:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:02 status unpacked libk5crypto3:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:02 install libkeyutils1:amd64 <none> 1.6.1-2
2023-04-29 09:41:02 status half-installed libkeyutils1:amd64 1.6.1-2
2023-04-29 09:41:02 status unpacked libkeyutils1:amd64 1.6.1-2
2023-04-29 09:41:02 install libssl1.1:amd64 <none> 1.1.1n-0+deb11u3
2023-04-29 09:41:02 status half-installed libssl1.1:amd64 1.1.1n-0+deb11u3
2023-04-29 09:41:02 status unpacked libssl1.1:amd64 1.1.1n-0+deb11u3
2023-04-29 09:41:02 install libkrb5-3:amd64 <none> 1.18.3-6+deb11u3
2023-04-29 09:41:02 status half-installed libkrb5-3:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:02 status unpacked libkrb5-3:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:02 install libgssapi-krb5-2:amd64 <none> 1.18.3-6+deb11u3
2023-04-29 09:41:02 status half-installed libgssapi-krb5-2:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:02 status unpacked libgssapi-krb5-2:amd64 1.18.3-6+deb11u3
2023-04-29 09:41:02 install libtirpc-common:all <none> 1.3.1-1+deb11u1
2023-04-29 09:41:02 status half-installed libtirpc-common:all 1.3.1-1+deb11u1
2023-04-29 09:41:02 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2023-04-29 09:41:02 install libtirpc3:amd64 <none> 1.3.1-1+deb11u1
2023-04-29 09:41:02 status half-installed libtirpc3:amd64 1.3.1-1+deb11u1
2023-04-29 09:41:02 status unpacked libtirpc3:amd64 1.3.1-1+deb11u1
2023-04-29 09:41:02 install libnsl2:amd64 <none> 1.3.0-2
2023-04-29 09:41:02 status half-installed libnsl2:amd64 1.3.0-2
2023-04-29 09:41:02 status unpacked libnsl2:amd64 1.3.0-2
2023-04-29 09:41:02 install libpam-modules-bin:amd64 <none> 1.4.0-9+deb11u1
2023-04-29 09:41:02 status half-installed libpam-modules-bin:amd64 1.4.0-9+deb11u1
2023-04-29 09:41:02 status unpacked libpam-modules-bin:amd64 1.4.0-9+deb11u1
2023-04-29 09:41:02 install libpam-modules:amd64 <none> 1.4.0-9+deb11u1
2023-04-29 09:41:02 status half-installed libpam-modules:amd64 1.4.0-9+deb11u1
2023-04-29 09:41:02 status unpacked libpam-modules:amd64 1.4.0-9+deb11u1
2023-04-29 09:41:02 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2023-04-29 09:41:02 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2023-04-29 09:41:02 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2023-04-29 09:41:02 install login:amd64 <none> 1:4.8.1-1
2023-04-29 09:41:02 status half-installed login:amd64 1:4.8.1-1
2023-04-29 09:41:02 status unpacked login:amd64 1:4.8.1-1
2023-04-29 09:41:02 install libblkid1:amd64 <none> 2.36.1-8+deb11u1
2023-04-29 09:41:02 status half-installed libblkid1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:02 status unpacked libblkid1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 install libmount1:amd64 <none> 2.36.1-8+deb11u1
2023-04-29 09:41:03 status half-installed libmount1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 status unpacked libmount1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 install libsmartcols1:amd64 <none> 2.36.1-8+deb11u1
2023-04-29 09:41:03 status half-installed libsmartcols1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 status unpacked libsmartcols1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 install libudev1:amd64 <none> 247.3-7+deb11u1
2023-04-29 09:41:03 status half-installed libudev1:amd64 247.3-7+deb11u1
2023-04-29 09:41:03 status unpacked libudev1:amd64 247.3-7+deb11u1
2023-04-29 09:41:03 install libuuid1:amd64 <none> 2.36.1-8+deb11u1
2023-04-29 09:41:03 status half-installed libuuid1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 status unpacked libuuid1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 install util-linux:amd64 <none> 2.36.1-8+deb11u1
2023-04-29 09:41:03 status half-installed util-linux:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 status unpacked util-linux:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:03 install findutils:amd64 <none> 4.8.0-1
2023-04-29 09:41:03 status half-installed findutils:amd64 4.8.0-1
2023-04-29 09:41:03 status unpacked findutils:amd64 4.8.0-1
2023-04-29 09:41:03 install libpcre3:amd64 <none> 2:8.39-13
2023-04-29 09:41:03 status half-installed libpcre3:amd64 2:8.39-13
2023-04-29 09:41:03 status unpacked libpcre3:amd64 2:8.39-13
2023-04-29 09:41:03 install grep:amd64 <none> 3.6-1
2023-04-29 09:41:03 status half-installed grep:amd64 3.6-1
2023-04-29 09:41:03 status unpacked grep:amd64 3.6-1
2023-04-29 09:41:03 install libc-bin:amd64 <none> 2.31-13+deb11u5
2023-04-29 09:41:03 status half-installed libc-bin:amd64 2.31-13+deb11u5
2023-04-29 09:41:03 status unpacked libc-bin:amd64 2.31-13+deb11u5
2023-04-29 09:41:03 install hostname:amd64 <none> 3.23
2023-04-29 09:41:03 status half-installed hostname:amd64 3.23
2023-04-29 09:41:03 status unpacked hostname:amd64 3.23
2023-04-29 09:41:03 install ncurses-bin:amd64 <none> 6.2+20201114-2
2023-04-29 09:41:03 status half-installed ncurses-bin:amd64 6.2+20201114-2
2023-04-29 09:41:03 status unpacked ncurses-bin:amd64 6.2+20201114-2
2023-04-29 09:41:03 install ncurses-base:all <none> 6.2+20201114-2
2023-04-29 09:41:03 status half-installed ncurses-base:all 6.2+20201114-2
2023-04-29 09:41:03 status unpacked ncurses-base:all 6.2+20201114-2
2023-04-29 09:41:03 startup packages configure
2023-04-29 09:41:03 configure lsb-base:all 11.1.0 <none>
2023-04-29 09:41:03 status unpacked lsb-base:all 11.1.0
2023-04-29 09:41:04 status half-configured lsb-base:all 11.1.0
2023-04-29 09:41:04 status installed lsb-base:all 11.1.0
2023-04-29 09:41:04 configure libtirpc-common:all 1.3.1-1+deb11u1 <none>
2023-04-29 09:41:04 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2023-04-29 09:41:04 status half-configured libtirpc-common:all 1.3.1-1+deb11u1
2023-04-29 09:41:04 status installed libtirpc-common:all 1.3.1-1+deb11u1
2023-04-29 09:41:04 configure libaudit-common:all 1:3.0-2 <none>
2023-04-29 09:41:04 status unpacked libaudit-common:all 1:3.0-2
2023-04-29 09:41:04 status half-configured libaudit-common:all 1:3.0-2
2023-04-29 09:41:04 status installed libaudit-common:all 1:3.0-2
2023-04-29 09:41:04 configure gcc-10-base:amd64 10.2.1-6 <none>
2023-04-29 09:41:04 status unpacked gcc-10-base:amd64 10.2.1-6
2023-04-29 09:41:04 status half-configured gcc-10-base:amd64 10.2.1-6
2023-04-29 09:41:04 status installed gcc-10-base:amd64 10.2.1-6
2023-04-29 09:41:04 configure ncurses-base:all 6.2+20201114-2 <none>
2023-04-29 09:41:04 status unpacked ncurses-base:all 6.2+20201114-2
2023-04-29 09:41:04 status half-configured ncurses-base:all 6.2+20201114-2
2023-04-29 09:41:04 status installed ncurses-base:all 6.2+20201114-2
2023-04-29 09:41:04 configure libcrypt1:amd64 1:4.4.18-4 <none>
2023-04-29 09:41:04 status unpacked libcrypt1:amd64 1:4.4.18-4
2023-04-29 09:41:04 status half-configured libcrypt1:amd64 1:4.4.18-4
2023-04-29 09:41:04 status installed libcrypt1:amd64 1:4.4.18-4
2023-04-29 09:41:04 configure libgcc-s1:amd64 10.2.1-6 <none>
2023-04-29 09:41:04 status unpacked libgcc-s1:amd64 10.2.1-6
2023-04-29 09:41:04 status half-configured libgcc-s1:amd64 10.2.1-6
2023-04-29 09:41:04 status installed libgcc-s1:amd64 10.2.1-6
2023-04-29 09:41:04 configure libc6:amd64 2.31-13+deb11u5 <none>
2023-04-29 09:41:04 status unpacked libc6:amd64 2.31-13+deb11u5
2023-04-29 09:41:04 status half-configured libc6:amd64 2.31-13+deb11u5
2023-04-29 09:41:04 status installed libc6:amd64 2.31-13+deb11u5
2023-04-29 09:41:04 configure libudev1:amd64 247.3-7+deb11u1 <none>
2023-04-29 09:41:04 status unpacked libudev1:amd64 247.3-7+deb11u1
2023-04-29 09:41:04 status half-configured libudev1:amd64 247.3-7+deb11u1
2023-04-29 09:41:04 status installed libudev1:amd64 247.3-7+deb11u1
2023-04-29 09:41:04 configure libattr1:amd64 1:2.4.48-6 <none>
2023-04-29 09:41:04 status unpacked libattr1:amd64 1:2.4.48-6
2023-04-29 09:41:04 status half-configured libattr1:amd64 1:2.4.48-6
2023-04-29 09:41:04 status installed libattr1:amd64 1:2.4.48-6
2023-04-29 09:41:04 configure sysvinit-utils:amd64 2.96-7+deb11u1 <none>
2023-04-29 09:41:04 status unpacked sysvinit-utils:amd64 2.96-7+deb11u1
2023-04-29 09:41:04 status half-configured sysvinit-utils:amd64 2.96-7+deb11u1
2023-04-29 09:41:04 status installed sysvinit-utils:amd64 2.96-7+deb11u1
2023-04-29 09:41:04 configure debianutils:amd64 4.11.2 <none>
2023-04-29 09:41:04 status unpacked debianutils:amd64 4.11.2
2023-04-29 09:41:04 status half-configured debianutils:amd64 4.11.2
2023-04-29 09:41:04 status installed debianutils:amd64 4.11.2
2023-04-29 09:41:04 configure mawk:amd64 1.3.4.20200120-2 <none>
2023-04-29 09:41:04 status unpacked mawk:amd64 1.3.4.20200120-2
2023-04-29 09:41:04 status half-configured mawk:amd64 1.3.4.20200120-2
2023-04-29 09:41:04 status installed mawk:amd64 1.3.4.20200120-2
2023-04-29 09:41:04 configure libdebconfclient0:amd64 0.260 <none>
2023-04-29 09:41:04 status unpacked libdebconfclient0:amd64 0.260
2023-04-29 09:41:04 status half-configured libdebconfclient0:amd64 0.260
2023-04-29 09:41:04 status installed libdebconfclient0:amd64 0.260
2023-04-29 09:41:04 configure base-files:amd64 11.1+deb11u6 <none>
2023-04-29 09:41:04 status unpacked base-files:amd64 11.1+deb11u6
2023-04-29 09:41:04 status half-configured base-files:amd64 11.1+deb11u6
2023-04-29 09:41:04 status installed base-files:amd64 11.1+deb11u6
2023-04-29 09:41:04 configure libbz2-1.0:amd64 1.0.8-4 <none>
2023-04-29 09:41:04 status unpacked libbz2-1.0:amd64 1.0.8-4
2023-04-29 09:41:04 status half-configured libbz2-1.0:amd64 1.0.8-4
2023-04-29 09:41:04 status installed libbz2-1.0:amd64 1.0.8-4
2023-04-29 09:41:04 configure base-passwd:amd64 3.5.51 <none>
2023-04-29 09:41:04 status unpacked base-passwd:amd64 3.5.51
2023-04-29 09:41:04 status half-configured base-passwd:amd64 3.5.51
2023-04-29 09:41:04 status installed base-passwd:amd64 3.5.51
2023-04-29 09:41:04 configure libdb5.3:amd64 5.3.28+dfsg1-0.8 <none>
2023-04-29 09:41:04 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8
2023-04-29 09:41:04 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.8
2023-04-29 09:41:04 status installed libdb5.3:amd64 5.3.28+dfsg1-0.8
2023-04-29 09:41:04 configure libblkid1:amd64 2.36.1-8+deb11u1 <none>
2023-04-29 09:41:04 status unpacked libblkid1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:04 status half-configured libblkid1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:04 status installed libblkid1:amd64 2.36.1-8+deb11u1
2023-04-29 09:41:04 configure libtinfo6:amd64 6.2+20201114-2 <none>
2023-04-29 09:41:04 status unpacked libtinfo6:amd64 6.2+20201114-2
2023-04-29 09:41:04 status half-configured libtinfo6:amd64 6.2+20201114-2
2023-04-29 09:41:04 status installed libtinfo6:amd64 6.2+20201114-2
2023-04-29 09:41:04 configure bash:amd64 5.1-2+deb11u1 <none>
2023-04-29 09:41:04 status unpacked bash:amd64 5.1-2+deb11u1
2023-04-29 09:41:04 status half-configured bash:amd64 5.1-2+deb11u1
2023-04-29 09:41:04 status installed bash:amd64 5.1-2+deb11u1
2023-04-29 09:41:04 configure libzstd1:amd64 1.4.8+dfsg-2.1 <none>
2023-04-29 09:41:04 status unpacked libzstd1:amd64 1.4.8+dfsg-2.1
2023-04-29 09:41:04 status half-configured libzstd1:amd64 1.4.8+dfsg-2.1
2023-04-29 09:41:04 status installed libzstd1:amd64 1.4.8+dfsg-2.1
2023-04-29 09:41:04 configure libkeyutils1:amd64 1.6.1-2 <none>
2023-04-29 09:41:04 status unpacked libkeyutils1:amd64 1.6.1-2
2023-04-29 09:41:04 status half-configured libkeyutils1:amd64 1.6.1-2
2023-04-29 09:41:04 status installed libkeyutils1:amd64 1.6.1-2
2023-04-29 09:41:04 configure liblzma5:amd64 5.2.5-2.1~deb11u1 <none>
